"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,3509760,2019-12-02,2019-12-02,1,1268.88,1,1268.88,29,0,"1",,5,2,2
2019-12-01,712536,2019-12-23,2019-12-23,1,1268.88,1,1268.88,8,0,"1",,2,2,2
2019-12-01,4011456,2019-12-02,2019-12-02,1,1268.88,1,1268.88,29,0,"1",,5,2,2
2019-12-01,2776986,2019-12-23,2019-12-23,1,1268.88,1,1268.88,8,0,"1",,2,2,2
2019-12-01,3507360,2019-12-23,2019-12-23,1,1268.88,1,1268.88,8,0,"1",,2,2,2
2019-12-01,3560202,2019-12-02,2019-12-02,1,1268.88,1,1268.88,29,0,"1",,5,2,2
2019-12-01,2401422,2019-12-02,2019-12-02,1,1268.88,1,1268.88,29,0,"1",,5,2,2
2019-12-01,902850,2019-12-23,2019-12-23,1,1268.88,1,1268.88,8,0,"1",,2,2,2
2019-12-01,4245594,2019-12-09,2019-12-09,1,1268.88,1,1268.88,22,0,"1",,4,2,2
2019-12-01,811602,2019-12-09,2019-12-09,1,1268.88,1,1268.88,22,0,"1",,4,3,2
2019-12-01,3743124,2019-12-23,2019-12-23,1,1268.88,1,1268.88,8,0,"1",,3,3,2
2019-12-01,1128624,2019-12-09,2019-12-09,1,1268.88,1,1268.88,22,0,"1",,4,3,2
2019-12-01,1093278,2019-12-16,2019-12-16,1,1268.88,1,1268.88,15,0,"1",,4,3,2
2019-12-01,3679404,2019-12-23,2019-12-23,1,1268.88,1,1268.88,8,0,"1",,3,3,2
2019-12-01,3295956,2019-12-09,2019-12-09,1,1293.96,1,1293.96,22,0,"1",,4,2,2
2019-12-01,939288,2019-12-09,2019-12-09,1,1293.96,1,1293.96,22,0,"1",,5,2,2
2019-12-01,1115280,2019-12-02,2019-12-30,3,1421.1599999999999,3,1421.1599999999999,1,28,"3",,1,4,2
2019-12-01,996558,2019-12-23,2019-12-23,1,1630.32,1,1630.32,8,0,"1",,1,1,2
2019-12-01,706404,2019-12-02,2019-12-16,3,1630.32,3,1630.32,15,14,"3",,4,4,2
2019-12-01,3287838,2019-12-02,2019-12-23,5,1669.08,5,1669.08,8,21,"5",,2,5,2
2019-12-01,1098684,2019-12-02,2019-12-23,2,1676.46,2,1676.46,8,21,"2",,2,3,2
2019-12-01,2418522,2019-12-02,2019-12-30,4,1681.98,4,1681.98,1,28,"4",,1,5,2
2019-12-01,4445412,2019-12-23,2019-12-23,1,1818.0,1,1818.0,8,0,"1",,2,2,2
2019-12-01,790392,2019-12-23,2019-12-23,1,1818.0,1,1818.0,8,0,"1",,2,2,2
2019-12-01,757332,2019-12-16,2019-12-23,3,1827.84,3,1827.84,8,7,"3",,3,4,2
2019-12-01,3780912,2019-12-16,2019-12-23,2,1835.46,2,1835.46,8,7,"2",,2,3,2
2019-12-01,3741288,2019-12-16,2019-12-16,1,1864.62,1,1864.62,15,0,"1",,3,1,2
2019-12-01,891720,2019-12-09,2019-12-30,4,1908.72,4,1908.72,1,21,"4",,1,5,2
2019-12-01,723552,2019-12-16,2019-12-23,2,1915.8600000000001,2,1915.8600000000001,8,7,"2",,1,3,2
2019-12-01,3035880,2019-12-16,2019-12-23,2,1915.8600000000001,2,1915.8600000000001,8,7,"2",,2,3,3
2019-12-01,766962,2019-12-16,2019-12-16,1,1943.28,1,1943.28,15,0,"1",,3,1,3
2019-12-01,3296766,2019-12-09,2019-12-09,1,1943.28,1,1943.28,22,0,"1",,4,3,3
2019-12-01,984462,2019-12-02,2019-12-23,3,2072.34,3,2072.34,8,21,"3",,2,5,3
2019-12-01,1138506,2019-12-02,2019-12-09,3,2084.04,3,2084.04,22,7,"3",,4,4,3
2019-12-01,795876,2019-12-09,2019-12-16,3,2126.6400000000003,3,2126.6400000000003,15,7,"3",,4,4,3
2019-12-01,849222,2019-12-02,2019-12-30,2,2129.04,2,2129.04,1,28,"2",,1,4,3
2019-12-01,712296,2019-12-23,2019-12-23,1,2147.88,1,2147.88,8,0,"1",,2,2,3
2019-12-01,4522512,2019-12-23,2019-12-23,1,2147.88,1,2147.88,8,0,"1",,3,3,3
2019-12-01,703044,2019-12-09,2019-12-09,3,2245.86,3,2245.86,22,0,"3",,4,4,3
2019-12-01,3692688,2019-12-09,2019-12-30,2,2325.54,2,2325.54,1,21,"2",,1,3,3
2019-12-01,705468,2019-12-09,2019-12-09,1,2329.38,1,2329.38,22,0,"1",,4,3,3
2019-12-01,702822,2019-12-09,2019-12-09,2,2342.82,2,2342.82,22,0,"2",,5,4,3
2019-12-01,968190,2019-12-16,2019-12-16,2,2342.82,2,2342.82,15,0,"2",,3,3,3
2019-12-01,1124988,2019-12-02,2019-12-16,3,2400.6,3,2400.6,15,14,"3",,3,4,3
2019-12-01,707292,2019-12-09,2019-12-09,1,2524.74,1,2524.74,22,0,"1",,5,1,3
2019-12-01,1152858,2019-12-16,2019-12-23,2,2524.8,2,2524.8,8,7,"2",,3,3,3
2019-12-01,2438358,2019-12-16,2019-12-23,2,2527.98,2,2527.98,8,7,"2",,2,3,3
2019-12-01,711894,2019-12-02,2019-12-23,2,2528.5200000000004,2,2528.5200000000004,8,21,"2",,2,3,3
2019-12-01,4413756,2019-12-23,2019-12-23,1,2537.7,1,2537.7,8,0,"1",,2,2,3
2019-12-01,4143780,2019-12-23,2019-12-23,1,2537.7,1,2537.7,8,0,"1",,2,2,3
2019-12-01,2447142,2019-12-23,2019-12-23,1,2537.7,1,2537.7,8,0,"1",,2,2,3
2019-12-01,2959992,2019-12-02,2019-12-23,2,2537.76,2,2537.76,8,21,"2",,3,3,3
2019-12-01,1114524,2019-12-02,2019-12-09,2,2537.76,2,2537.76,22,7,"2",,4,4,3
2019-12-01,3297774,2019-12-02,2019-12-09,2,2537.76,2,2537.76,22,7,"2",,4,4,3
2019-12-01,2471094,2019-12-02,2019-12-09,2,2537.76,2,2537.76,22,7,"2",,5,4,3
2019-12-01,2815272,2019-12-02,2019-12-02,1,2537.82,1,2537.82,29,0,"1",,5,2,3
2019-12-01,3869526,2019-12-09,2019-12-09,1,2537.82,1,2537.82,22,0,"1",,4,2,3
2019-12-01,804186,2019-12-09,2019-12-09,1,2537.82,1,2537.82,22,0,"1",,4,2,3
2019-12-01,3293202,2019-12-02,2019-12-02,1,2537.82,1,2537.82,29,0,"1",,5,3,3
